year,state,law
2010,New Mexico,1
2011,New Mexico,1
2012,New Mexico,1
2012,Massachusetts,1
2013,New Mexico,1
2013,Massachusetts,1
2013,Oklahoma,1
2013,Oregon,1
2013,North Carolina,1
2013,District of Columbia,1
2013,New Jersey,1
2013,Vermont,1
2014,New Mexico,1
2014,Massachusetts,1
2014,Oklahoma,1
2014,Oregon,1
2014,North Carolina,1
2014,District of Columbia,1
2014,New Jersey,1
2014,Vermont,1
2014,Minnesota,1
2014,Wisconsin,1
2014,Michigan,1
2014,California,1
2014,Utah,1
2014,Ohio,1
2014,Pennslyvania,1
2014,New York,1
2014,Rhode Island,1
2014,New Jersey,1
2014,Delaware,1
2014,Tennesee,1
2014,Georgia,1
2015,Alabama,1
2015,Arkansas,1
2015,California,1
2015,Colorado,1
2015,Connecticut,1
2015,Delaware,1
2015,Florida,1
2015,Georgia,1
2015,Idaho,1
2015,Illinois,1
2015,Indiana,1
2015,Kentucky,1
2015,Maine,1
2015,Maryland,1
2015,Massachusetts,1
2015,Michigan,1
2015,Minnesota,1
2015,Mississippi,1
2015,Nebraska,1
2015,Nevada,1
2015,New Hampshire,1
2015,New Jersey,1
2015,New Mexico,1
2015,New York,1
2015,North Carolina,1
2015,North Dakota,1
2015,Ohio,1
2015,Oklahoma,1
2015,Oregon,1
2015,Pennsylvania,1
2015,Rhode Island,1
2015,South Carolina,1
2015,Tennessee,1
2015,Texas,1
2015,Utah,1
2015,Vermont,1
2015,Virginia,1
2015,Washington,1
2015,West Virginia,1
2015,Wisconsin,1
